SaveData[0], 0x0411,
SaveData[1], 0x040F,
SaveData[2], 0x0409,
SaveData[3], 0x0413,
SaveData[4], 0x0415,
SaveData[5], 0x040D,
SaveData[6], 0x0411,
SaveData[7], 0x0413,
SaveData[8], 0x0411,
SaveData[9], 0x0411,
SaveData[10], 0x040D,
SaveData[11], 0x0411,
SaveData[12], 0x0415,
SaveData[13], 0x0415,
SaveData[14], 0x0416,
SaveData[15], 0x0413,
SaveData[16], 0x0411,
SaveData[17], 0x0417,
SaveData[18], 0x0410,
SaveData[19], 0x0417,
SaveData[20], 0x0413,
SaveData[21], 0x0413,
SaveData[22], 0x0413,
SaveData[23], 0x0413,
SaveData[24], 0x0411,
SaveData[25], 0x0417,
SaveData[26], 0x040F,
SaveData[27], 0x0415,
SaveData[28], 0x0413,
SaveData[29], 0x0415,
SaveData[30], 0x0416,
SaveData[31], 0x0411,
SaveData[32], 0x0413,
SaveData[33], 0x0413,
SaveData[34], 0x0411,
SaveData[35], 0x0417,
SaveData[36], 0x0411,
SaveData[37], 0x0417,
SaveData[38], 0x0415,
SaveData[39], 0x0411,
SaveData[40], 0x0414,
SaveData[41], 0x0419,
SaveData[42], 0x0413,
SaveData[43], 0x0417,
SaveData[44], 0x0411,
SaveData[45], 0x0417,
SaveData[46], 0x0418,
SaveData[47], 0x0413,
SaveData[48], 0x0413,
SaveData[49], 0x0415,
SaveData[50], 0x0417,
SaveData[51], 0x0415,
SaveData[52], 0x0411,
SaveData[53], 0x0419,
SaveData[54], 0x0418,
SaveData[55], 0x0413,
SaveData[56], 0x0418,
SaveData[57], 0x0415,
SaveData[58], 0x0417,
SaveData[59], 0x041B,
SaveData[60], 0x0413,
SaveData[61], 0x0413,
SaveData[62], 0x0418,
SaveData[63], 0x0415,
SaveData[64], 0x0419,
SaveData[65], 0x0411,
SaveData[66], 0x0415,
SaveData[67], 0x041B,
SaveData[68], 0x0415,
SaveData[69], 0x0417,
SaveData[70], 0x0416,
SaveData[71], 0x0415,
SaveData[72], 0x0415,
SaveData[73], 0x040F,
SaveData[74], 0x0415,
SaveData[75], 0x0419,
SaveData[76], 0x0415,
SaveData[77], 0x0417,
SaveData[78], 0x0412,
SaveData[79], 0x0415,
SaveData[80], 0x0419,
SaveData[81], 0x0413,
SaveData[82], 0x0418,
SaveData[83], 0x0417,
SaveData[84], 0x0415,
SaveData[85], 0x0419,
SaveData[86], 0x0414,
SaveData[87], 0x0413,
SaveData[88], 0x0419,
SaveData[89], 0x0411,
SaveData[90], 0x0415,
SaveData[91], 0x0419,
SaveData[92], 0x0415,
SaveData[93], 0x0415,
SaveData[94], 0x0414,
SaveData[95], 0x0419,
SaveData[96], 0x0417,
SaveData[97], 0x0417,
SaveData[98], 0x0417,
SaveData[99], 0x0417,
SaveData[100], 0x0417,
SaveData[101], 0x0419,
SaveData[102], 0x0410,
SaveData[103], 0x0417,
SaveData[104], 0x0417,
SaveData[105], 0x041A,
SaveData[106], 0x0418,
SaveData[107], 0x0417,
SaveData[108], 0x0413,
SaveData[109], 0x0419,
SaveData[110], 0x0412,
SaveData[111], 0x0417,
SaveData[112], 0x040F,
SaveData[113], 0x0415,
SaveData[114], 0x0413,
SaveData[115], 0x040F,
SaveData[116], 0x0415,
SaveData[117], 0x0415,
SaveData[118], 0x040F,
SaveData[119], 0x0415,
SaveData[120], 0x040F,
SaveData[121], 0x0415,
SaveData[122], 0x0415,
SaveData[123], 0x0411,
SaveData[124], 0x0411,
SaveData[125], 0x0413,
SaveData[126], 0x0412,
SaveData[127], 0x0411,
SaveData[128], 0x040F,
SaveData[129], 0x0413,
SaveData[130], 0x0415,
SaveData[131], 0x040F,
SaveData[132], 0x040F,
SaveData[133], 0x040D,
SaveData[134], 0x0410,
SaveData[135], 0x0415,
SaveData[136], 0x040B,
SaveData[137], 0x0411,
SaveData[138], 0x040F,
SaveData[139], 0x040F,
SaveData[140], 0x0411,
SaveData[141], 0x040D,
SaveData[142], 0x040F,
SaveData[143], 0x0411,
SaveData[144], 0x040D,
SaveData[145], 0x0411,
SaveData[146], 0x040F,
SaveData[147], 0x040F,
SaveData[148], 0x040D,
SaveData[149], 0x0409,
