SaveData[0], 0x0423,
SaveData[1], 0x0425,
SaveData[2], 0x041F,
SaveData[3], 0x0424,
SaveData[4], 0x0426,
SaveData[5], 0x0423,
SaveData[6], 0x0423,
SaveData[7], 0x0420,
SaveData[8], 0x0423,
SaveData[9], 0x0423,
SaveData[10], 0x0427,
SaveData[11], 0x041F,
SaveData[12], 0x0426,
SaveData[13], 0x0426,
SaveData[14], 0x0427,
SaveData[15], 0x0420,
SaveData[16], 0x0429,
SaveData[17], 0x0426,
SaveData[18], 0x0426,
SaveData[19], 0x0426,
SaveData[20], 0x0425,
SaveData[21], 0x0426,
SaveData[22], 0x042D,
SaveData[23], 0x0424,
SaveData[24], 0x042B,
SaveData[25], 0x0427,
SaveData[26], 0x0429,
SaveData[27], 0x0428,
SaveData[28], 0x0427,
SaveData[29], 0x042C,
SaveData[30], 0x0429,
SaveData[31], 0x0428,
SaveData[32], 0x042B,
SaveData[33], 0x0425,
SaveData[34], 0x042B,
SaveData[35], 0x042E,
SaveData[36], 0x0425,
SaveData[37], 0x0427,
SaveData[38], 0x042D,
SaveData[39], 0x0426,
SaveData[40], 0x042D,
SaveData[41], 0x042A,
SaveData[42], 0x042B,
SaveData[43], 0x042A,
SaveData[44], 0x042B,
SaveData[45], 0x042A,
SaveData[46], 0x042B,
SaveData[47], 0x042A,
SaveData[48], 0x042D,
SaveData[49], 0x0427,
SaveData[50], 0x042B,
SaveData[51], 0x042C,
SaveData[52], 0x0429,
SaveData[53], 0x0429,
SaveData[54], 0x042D,
SaveData[55], 0x042A,
SaveData[56], 0x042D,
SaveData[57], 0x0427,
SaveData[58], 0x042D,
SaveData[59], 0x042C,
SaveData[60], 0x042B,
SaveData[61], 0x042E,
SaveData[62], 0x0429,
SaveData[63], 0x042C,
SaveData[64], 0x0431,
SaveData[65], 0x0427,
SaveData[66], 0x042D,
SaveData[67], 0x0430,
SaveData[68], 0x042B,
SaveData[69], 0x042B,
SaveData[70], 0x042D,
SaveData[71], 0x042C,
SaveData[72], 0x042F,
SaveData[73], 0x0429,
SaveData[74], 0x042F,
SaveData[75], 0x042C,
SaveData[76], 0x042F,
SaveData[77], 0x042B,
SaveData[78], 0x042B,
SaveData[79], 0x042B,
SaveData[80], 0x042D,
SaveData[81], 0x0427,
SaveData[82], 0x042F,
SaveData[83], 0x042E,
SaveData[84], 0x042D,
SaveData[85], 0x0431,
SaveData[86], 0x042B,
SaveData[87], 0x042F,
SaveData[88], 0x042D,
SaveData[89], 0x042D,
SaveData[90], 0x042F,
SaveData[91], 0x0426,
SaveData[92], 0x0431,
SaveData[93], 0x0431,
SaveData[94], 0x0429,
SaveData[95], 0x042F,
SaveData[96], 0x042F,
SaveData[97], 0x042F,
SaveData[98], 0x042F,
SaveData[99], 0x042A,
SaveData[100], 0x042D,
SaveData[101], 0x042F,
SaveData[102], 0x042B,
SaveData[103], 0x042F,
SaveData[104], 0x0431,
SaveData[105], 0x042F,
SaveData[106], 0x042F,
SaveData[107], 0x0429,
SaveData[108], 0x042F,
SaveData[109], 0x0431,
SaveData[110], 0x042D,
SaveData[111], 0x042D,
SaveData[112], 0x0431,
SaveData[113], 0x042B,
SaveData[114], 0x0431,
SaveData[115], 0x0429,
SaveData[116], 0x042F,
SaveData[117], 0x042F,
SaveData[118], 0x042B,
SaveData[119], 0x042D,
SaveData[120], 0x0429,
SaveData[121], 0x042D,
SaveData[122], 0x042F,
SaveData[123], 0x0427,
SaveData[124], 0x042F,
SaveData[125], 0x042D,
SaveData[126], 0x042B,
SaveData[127], 0x042B,
SaveData[128], 0x0429,
SaveData[129], 0x0427,
SaveData[130], 0x042D,
SaveData[131], 0x0427,
SaveData[132], 0x042B,
SaveData[133], 0x0429,
SaveData[134], 0x0429,
SaveData[135], 0x0428,
SaveData[136], 0x0425,
SaveData[137], 0x0429,
SaveData[138], 0x042B,
SaveData[139], 0x0425,
SaveData[140], 0x0429,
SaveData[141], 0x0425,
SaveData[142], 0x0427,
SaveData[143], 0x0427,
SaveData[144], 0x0422,
SaveData[145], 0x0424,
SaveData[146], 0x0429,
SaveData[147], 0x0423,
SaveData[148], 0x0426,
