SaveData[223], 0x03A7,
SaveData[224], 0x038F,
SaveData[225], 0x03B0,
SaveData[226], 0x0391,
SaveData[227], 0x03AD,
SaveData[228], 0x0390,
SaveData[229], 0x03AD,
SaveData[230], 0x039D,
SaveData[231], 0x039F,
SaveData[232], 0x0379,
SaveData[233], 0x0396,
SaveData[234], 0x0385,
SaveData[235], 0x0391,
SaveData[236], 0x0397,
SaveData[237], 0x0389,
SaveData[238], 0x03A3,
SaveData[239], 0x038B,
SaveData[240], 0x039E,
SaveData[241], 0x038B,
SaveData[242], 0x03A7,
SaveData[243], 0x0393,
SaveData[244], 0x03AB,
SaveData[245], 0x038F,
SaveData[246], 0x03AD,
SaveData[247], 0x0390,
SaveData[248], 0x03AB,
SaveData[249], 0x0397,
SaveData[250], 0x03A3,
SaveData[251], 0x0399,
SaveData[252], 0x0395,
SaveData[253], 0x039B,
SaveData[254], 0x0394,
SaveData[255], 0x0397,
SaveData[256], 0x038B,
SaveData[257], 0x039C,
SaveData[258], 0x0383,
SaveData[259], 0x039B,
SaveData[260], 0x0392,
SaveData[261], 0x03A3,
SaveData[262], 0x038F,
SaveData[263], 0x03A9,
SaveData[264], 0x03A0,
SaveData[265], 0x03AB,
SaveData[266], 0x03A3,
SaveData[267], 0x03AF,
SaveData[268], 0x0396,
SaveData[269], 0x03A6,
SaveData[270], 0x0399,
SaveData[271], 0x03A1,
SaveData[272], 0x0390,
SaveData[273], 0x0395,
SaveData[274], 0x0398,
SaveData[275], 0x038D,
SaveData[276], 0x0393,
SaveData[277], 0x038B,
SaveData[278], 0x0399,
SaveData[279], 0x0385,
SaveData[280], 0x039F,
SaveData[281], 0x038E,
SaveData[282], 0x03A6,
SaveData[283], 0x0380,
SaveData[284], 0x03AB,
SaveData[285], 0x038F,
SaveData[286], 0x03AB,
SaveData[287], 0x0393,
SaveData[288], 0x03AD,
SaveData[289], 0x0397,
SaveData[290], 0x03A7,
SaveData[291], 0x0397,
SaveData[292], 0x0394,
SaveData[293], 0x0391,
SaveData[294], 0x038F,
SaveData[295], 0x0393,
SaveData[296], 0x038A,
SaveData[297], 0x039A,
SaveData[298], 0x0393,
SaveData[299], 0x039E,
SaveData[300], 0x037B,
SaveData[301], 0x039B,
SaveData[302], 0x0389,
SaveData[303], 0x03A9,
SaveData[304], 0x0393,
SaveData[305], 0x03AB,
SaveData[306], 0x0391,
SaveData[307], 0x03AB,
SaveData[308], 0x0397,
SaveData[309], 0x03AC,
SaveData[310], 0x0397,
SaveData[311], 0x039C,
SaveData[312], 0x0395,
SaveData[313], 0x0398,
SaveData[314], 0x0392,
SaveData[315], 0x038D,
SaveData[316], 0x0396,
