SaveData[228], 0x043D,
SaveData[229], 0x043A,
SaveData[230], 0x0442,
SaveData[231], 0x0438,
SaveData[232], 0x043C,
SaveData[233], 0x043C,
SaveData[234], 0x0439,
SaveData[235], 0x043A,
SaveData[236], 0x0439,
SaveData[237], 0x0438,
SaveData[238], 0x043F,
SaveData[239], 0x0438,
SaveData[240], 0x043E,
SaveData[241], 0x043C,
SaveData[242], 0x0439,
SaveData[243], 0x043A,
SaveData[244], 0x043A,
SaveData[245], 0x0438,
SaveData[246], 0x0440,
SaveData[247], 0x0436,
SaveData[248], 0x043B,
SaveData[249], 0x043B,
SaveData[250], 0x043A,
SaveData[251], 0x0436,
SaveData[252], 0x043A,
SaveData[253], 0x0440,
SaveData[254], 0x043E,
SaveData[255], 0x0436,
SaveData[256], 0x043D,
SaveData[257], 0x043A,
SaveData[258], 0x043A,
SaveData[259], 0x043A,
SaveData[260], 0x043B,
SaveData[261], 0x0438,
SaveData[262], 0x043E,
SaveData[263], 0x0436,
SaveData[264], 0x043E,
SaveData[265], 0x043E,
SaveData[266], 0x043A,
SaveData[267], 0x0438,
SaveData[268], 0x043C,
SaveData[269], 0x0438,
SaveData[270], 0x043C,
SaveData[271], 0x0436,
SaveData[272], 0x043A,
SaveData[273], 0x043C,
SaveData[274], 0x0437,
SaveData[275], 0x043B,
SaveData[276], 0x043E,
SaveData[277], 0x043A,
SaveData[278], 0x043A,
SaveData[279], 0x0436,
SaveData[280], 0x043E,
SaveData[281], 0x043C,
SaveData[282], 0x043A,
SaveData[283], 0x043A,
SaveData[284], 0x043C,
SaveData[285], 0x043A,
SaveData[286], 0x043C,
SaveData[287], 0x0436,
SaveData[288], 0x043E,
SaveData[289], 0x043E,
SaveData[290], 0x043A,
SaveData[291], 0x043B,
SaveData[292], 0x043A,
SaveData[293], 0x043B,
SaveData[294], 0x043E,
SaveData[295], 0x0436,
SaveData[296], 0x043C,
SaveData[297], 0x043C,
SaveData[298], 0x0438,
SaveData[299], 0x043E,
SaveData[300], 0x043E,
SaveData[301], 0x043E,
SaveData[302], 0x043C,
SaveData[303], 0x0436,
SaveData[304], 0x043E,
SaveData[305], 0x043A,
SaveData[306], 0x043A,
SaveData[307], 0x043B,
SaveData[308], 0x043B,
SaveData[309], 0x043A,
SaveData[310], 0x043E,
SaveData[311], 0x0436,
SaveData[312], 0x043B,
SaveData[313], 0x043C,
SaveData[314], 0x043B,
SaveData[315], 0x043B,
SaveData[316], 0x043E,
SaveData[317], 0x043E,
SaveData[318], 0x043E,
SaveData[319], 0x0437,
SaveData[320], 0x043C,
SaveData[321], 0x0439,
SaveData[322], 0x043A,
SaveData[323], 0x043A,
SaveData[324], 0x043C,
SaveData[325], 0x043B,
SaveData[326], 0x043E,
SaveData[327], 0x0437,
SaveData[328], 0x043E,
SaveData[329], 0x043E,
SaveData[330], 0x043A,
SaveData[331], 0x043B,
SaveData[332], 0x043A,
SaveData[333], 0x043E,
SaveData[334], 0x043C,
SaveData[335], 0x043A,
SaveData[336], 0x043E,
SaveData[337], 0x043A,
SaveData[338], 0x043A,
SaveData[339], 0x043B,
SaveData[340], 0x043E,
SaveData[341], 0x043A,
SaveData[342], 0x0442,
SaveData[343], 0x0437,
SaveData[344], 0x043D,
SaveData[345], 0x043A,
SaveData[346], 0x0436,
SaveData[347], 0x043B,
SaveData[348], 0x043E,
SaveData[349], 0x043F,
SaveData[350], 0x043C,
SaveData[351], 0x043B,
SaveData[352], 0x043A,
SaveData[353], 0x043B,
SaveData[354], 0x043A,
SaveData[355], 0x043A,
SaveData[356], 0x043B,
SaveData[357], 0x0436,
SaveData[358], 0x043E,
SaveData[359], 0x0437,
SaveData[360], 0x043F,
