SaveData[201], 0x0C7F,
SaveData[202], 0x0C7D,
SaveData[203], 0x0C7C,
SaveData[204], 0x0C7D,
SaveData[205], 0x0C7F,
SaveData[206], 0x0C7B,
SaveData[207], 0x0C7F,
SaveData[208], 0x0C7C,
SaveData[209], 0x0C7F,
SaveData[210], 0x0C7E,
SaveData[211], 0x0C7D,
SaveData[212], 0x0C7F,
SaveData[213], 0x0C7F,
SaveData[214], 0x0C7B,
SaveData[215], 0x0C80,
SaveData[216], 0x0C7C,
SaveData[217], 0x0C7F,
SaveData[218], 0x0C7E,
SaveData[219], 0x0C7D,
SaveData[220], 0x0C7D,
SaveData[221], 0x0C80,
SaveData[222], 0x0C7C,
SaveData[223], 0x0C7F,
SaveData[224], 0x0C7D,
SaveData[225], 0x0C7F,
SaveData[226], 0x0C7C,
SaveData[227], 0x0C7D,
SaveData[228], 0x0C7D,
SaveData[229], 0x0C7F,
SaveData[230], 0x0C7B,
SaveData[231], 0x0C7F,
SaveData[232], 0x0C7B,
SaveData[233], 0x0C7F,
SaveData[234], 0x0C7D,
SaveData[235], 0x0C7C,
SaveData[236], 0x0C7D,
SaveData[237], 0x0C7E,
SaveData[238], 0x0C7C,
SaveData[239], 0x0C7E,
SaveData[240], 0x0C7C,
SaveData[241], 0x0C7E,
SaveData[242], 0x0C7E,
SaveData[243], 0x0C7E,
SaveData[244], 0x0C7D,
SaveData[245], 0x0C80,
SaveData[246], 0x0C7C,
SaveData[247], 0x0C7F,
SaveData[248], 0x0C7B,
SaveData[249], 0x0C80,
SaveData[250], 0x0C7D,
SaveData[251], 0x0C7D,
SaveData[252], 0x0C7D,
SaveData[253], 0x0C7F,
SaveData[254], 0x0C7D,
SaveData[255], 0x0C7F,
SaveData[256], 0x0C7B,
SaveData[257], 0x0C7E,
SaveData[258], 0x0C7E,
SaveData[259], 0x0C7C,
SaveData[260], 0x0C7C,
SaveData[261], 0x0C7F,
SaveData[262], 0x0C7D,
SaveData[263], 0x0C7E,
SaveData[264], 0x0C7D,
SaveData[265], 0x0C7E,
SaveData[266], 0x0C7D,
SaveData[267], 0x0C7E,
SaveData[268], 0x0C7D,
SaveData[269], 0x0C7E,
SaveData[270], 0x0C7C,
SaveData[271], 0x0C7F,
SaveData[272], 0x0C7A,
SaveData[273], 0x0C7F,
SaveData[274], 0x0C7E,
SaveData[275], 0x0C7D,
SaveData[276], 0x0C7D,
SaveData[277], 0x0C7E,
SaveData[278], 0x0C7E,
SaveData[279], 0x0C7F,
SaveData[280], 0x0C7B,
SaveData[281], 0x0C7F,
SaveData[282], 0x0C7E,
SaveData[283], 0x0C7E,
SaveData[284], 0x0C7D,
SaveData[285], 0x0C7E,
SaveData[286], 0x0C7C,
SaveData[287], 0x0C81,
SaveData[288], 0x0C7B,
SaveData[289], 0x0C7E,
SaveData[290], 0x0C7E,
SaveData[291], 0x0C7E,
SaveData[292], 0x0C7D,
SaveData[293], 0x0C7E,
SaveData[294], 0x0C7D,
SaveData[295], 0x0C7F,
SaveData[296], 0x0C7C,
SaveData[297], 0x0C7E,
SaveData[298], 0x0C7D,
SaveData[299], 0x0C7E,
SaveData[300], 0x0C7D,
SaveData[301], 0x0C7E,
SaveData[302], 0x0C7D,
SaveData[303], 0x0C80,
SaveData[304], 0x0C7B,
SaveData[305], 0x0C7E,
SaveData[306], 0x0C7D,
SaveData[307], 0x0C7E,
SaveData[308], 0x0C7E,
SaveData[309], 0x0C7E,
SaveData[310], 0x0C7D,
SaveData[311], 0x0C80,
SaveData[312], 0x0C7A,
SaveData[313], 0x0C7F,
SaveData[314], 0x0C7B,
SaveData[315], 0x0C7F,
SaveData[316], 0x0C7E,
SaveData[317], 0x0C7C,
SaveData[318], 0x0C7E,
SaveData[319], 0x0C80,
SaveData[320], 0x0C7B,
SaveData[321], 0x0C7F,
SaveData[322], 0x0C7D,
SaveData[323], 0x0C7E,
SaveData[324], 0x0C7D,
SaveData[325], 0x0C7B,
SaveData[326], 0x0C7D,
SaveData[327], 0x0C81,
SaveData[328], 0x0C7C,
SaveData[329], 0x0C80,
SaveData[330], 0x0C7D,
SaveData[331], 0x0C7E,
SaveData[332], 0x0C7E,
SaveData[333], 0x0C7C,
SaveData[334], 0x0C7D,
SaveData[335], 0x0C80,
SaveData[336], 0x0C7B,
SaveData[337], 0x0C7F,
SaveData[338], 0x0C7B,
SaveData[339], 0x0C7E,
SaveData[340], 0x0C7E,
SaveData[341], 0x0C7D,
SaveData[342], 0x0C7D,
SaveData[343], 0x0C7F,
SaveData[344], 0x0C7B,
SaveData[345], 0x0C7F,
SaveData[346], 0x0C7B,
SaveData[347], 0x0C80,
SaveData[348], 0x0C7F,
SaveData[349], 0x0C7C,
SaveData[350], 0x0C7E,
SaveData[351], 0x0C7F,
SaveData[352], 0x0C7B,
SaveData[353], 0x0C7F,
SaveData[354], 0x0C7B,
SaveData[355], 0x0C7E,
SaveData[356], 0x0C7F,
SaveData[357], 0x0C7D,
SaveData[358], 0x0C7C,
SaveData[359], 0x0C7E,
SaveData[360], 0x0C7D,
SaveData[361], 0x0C7F,
SaveData[362], 0x0C7B,
SaveData[363], 0x0C7F,
SaveData[364], 0x0C7D,
SaveData[365], 0x0C7E,
SaveData[366], 0x0C7C,
SaveData[367], 0x0C7F,
SaveData[368], 0x0C7D,
SaveData[369], 0x0C7F,
SaveData[370], 0x0C7B,
SaveData[371], 0x0C7F,
SaveData[372], 0x0C7D,
SaveData[373], 0x0C7D,
SaveData[374], 0x0C7D,
SaveData[375], 0x0C7E,
SaveData[376], 0x0C7D,
SaveData[377], 0x0C7D,
SaveData[378], 0x0C7A,
SaveData[379], 0x0C7E,
SaveData[380], 0x0C7C,
SaveData[381], 0x0C7F,
SaveData[382], 0x0C7D,
SaveData[383], 0x0C7F,
SaveData[384], 0x0C7C,
SaveData[385], 0x0C81,
SaveData[386], 0x0C7C,
SaveData[387], 0x0C7E,
SaveData[388], 0x0C7D,
SaveData[389], 0x0C7D,
SaveData[390], 0x0C7B,
SaveData[391], 0x0C7E,
SaveData[392], 0x0C7D,
SaveData[393], 0x0C80,
SaveData[394], 0x0C7B,
SaveData[395], 0x0C7E,
SaveData[396], 0x0C7C,
SaveData[397], 0x0C7E,
SaveData[398], 0x0C7D,
SaveData[399], 0x0C7D,
SaveData[400], 0x0C7D,
SaveData[401], 0x0C80,
SaveData[402], 0x0C7A,
SaveData[403], 0x0C7E,
SaveData[404], 0x0C7D,
SaveData[405], 0x0C7E,
SaveData[406], 0x0C7E,
SaveData[407], 0x0C7D,
SaveData[408], 0x0C7D,
SaveData[409], 0x0C7F,
SaveData[410], 0x0C7A,
SaveData[411], 0x0C7F,
SaveData[412], 0x0C7E,
SaveData[413], 0x0C7E,
SaveData[414], 0x0C7E,
SaveData[415], 0x0C7B,
SaveData[416], 0x0C7E,
SaveData[417], 0x0C7F,
SaveData[418], 0x0C7A,
SaveData[419], 0x0C80,
SaveData[420], 0x0C7C,
SaveData[421], 0x0C7C,
SaveData[422], 0x0C7D,
SaveData[423], 0x0C7D,
SaveData[424], 0x0C7C,
SaveData[425], 0x0C80,
SaveData[426], 0x0C7C,
SaveData[427], 0x0C7C,
SaveData[428], 0x0C7C,
SaveData[429], 0x0C7E,
SaveData[430], 0x0C7D,
SaveData[431], 0x0C7D,
SaveData[432], 0x0C7D,
SaveData[433], 0x0C7F,
SaveData[434], 0x0C7B,
SaveData[435], 0x0C7F,
SaveData[436], 0x0C7B,
SaveData[437], 0x0C80,
SaveData[438], 0x0C7E,
SaveData[439], 0x0C7C,
SaveData[440], 0x0C7F,
SaveData[441], 0x0C7F,
SaveData[442], 0x0C7E,
SaveData[443], 0x0C7F,
SaveData[444], 0x0C7C,
SaveData[445], 0x0C80,
SaveData[446], 0x0C7F,
SaveData[447], 0x0C7D,
SaveData[448], 0x0C7C,
SaveData[449], 0x0C7F,
SaveData[450], 0x0C7C,
SaveData[451], 0x0C7F,
SaveData[452], 0x0C7C,
SaveData[453], 0x0C7F,
SaveData[454], 0x0C7F,
SaveData[455], 0x0C7D,
SaveData[456], 0x0C7E,
SaveData[457], 0x0C7F,
SaveData[458], 0x0C7B,
SaveData[459], 0x0C7F,
SaveData[460], 0x0C7C,
SaveData[461], 0x0C7C,
SaveData[462], 0x0C7E,
SaveData[463], 0x0C7D,
SaveData[464], 0x0C7C,
SaveData[465], 0x0C80,
SaveData[466], 0x0C7B,
SaveData[467], 0x0C7D,
SaveData[468], 0x0C7C,
SaveData[469], 0x0C7E,
SaveData[470], 0x0C7D,
SaveData[471], 0x0C7D,
SaveData[472], 0x0C7E,
SaveData[473], 0x0C7F,
SaveData[474], 0x0C7B,
SaveData[475], 0x0C7B,
SaveData[476], 0x0C7B,
SaveData[477], 0x0C7D,
SaveData[478], 0x0C7E,
SaveData[479], 0x0C7E,
SaveData[480], 0x0C7B,
SaveData[481], 0x0C7D,
SaveData[482], 0x0C7D,
SaveData[483], 0x0C7F,
SaveData[484], 0x0C7B,
SaveData[485], 0x0C7F,
SaveData[486], 0x0C7F,
SaveData[487], 0x0C7C,
SaveData[488], 0x0C7E,
SaveData[489], 0x0C7D,
SaveData[490], 0x0C7C,
SaveData[491], 0x0C81,
SaveData[492], 0x0C7B,
SaveData[493], 0x0C7E,
SaveData[494], 0x0C7E,
SaveData[495], 0x0C7E,
SaveData[496], 0x0C7C,
SaveData[497], 0x0C7E,
SaveData[498], 0x0C7D,
SaveData[499], 0x0C80,
SaveData[500], 0x0C7C,
SaveData[501], 0x0C7E,
SaveData[502], 0x0C7D,
SaveData[503], 0x0C7F,
SaveData[504], 0x0C7E,
SaveData[505], 0x0C7F,
SaveData[506], 0x0C7B,
SaveData[507], 0x0C80,
SaveData[508], 0x0C7B,
SaveData[509], 0x0C80,
SaveData[510], 0x0C7E,
SaveData[511], 0x0C7F,
SaveData[512], 0x0C7B,
SaveData[513], 0x0C7D,
SaveData[514], 0x0C7B,
SaveData[515], 0x0C80,
SaveData[516], 0x0C7C,
SaveData[517], 0x0C7F,
SaveData[518], 0x0C7D,
SaveData[519], 0x0C7D,
SaveData[520], 0x0C7E,
SaveData[521], 0x0C7D,
SaveData[522], 0x0C7D,
SaveData[523], 0x0C80,
SaveData[524], 0x0C7B,
SaveData[525], 0x0C80,
SaveData[526], 0x0C7D,
SaveData[527], 0x0C7E,
SaveData[528], 0x0C7D,
SaveData[529], 0x0C7E,
SaveData[530], 0x0C7C,
SaveData[531], 0x0C7F,
SaveData[532], 0x0C7B,
SaveData[533], 0x0C7F,
SaveData[534], 0x0C7C,
SaveData[535], 0x0C7F,
SaveData[536], 0x0C7F,
SaveData[537], 0x0C7D,
SaveData[538], 0x0C7D,
SaveData[539], 0x0C80,
SaveData[540], 0x0C7B,
SaveData[541], 0x0C7C,
SaveData[542], 0x0C7E,
SaveData[543], 0x0C7F,
SaveData[544], 0x0C7E,
SaveData[545], 0x0C7D,
SaveData[546], 0x0C7E,
SaveData[547], 0x0C7E,
SaveData[548], 0x0C7C,
SaveData[549], 0x0C7F,
SaveData[550], 0x0C7C,
SaveData[551], 0x0C7F,
SaveData[552], 0x0C80,
SaveData[553], 0x0C7D,
SaveData[554], 0x0C7D,
SaveData[555], 0x0C7E,
SaveData[556], 0x0C7E,
SaveData[557], 0x0C7F,
SaveData[558], 0x0C7B,
SaveData[559], 0x0C7F,
SaveData[560], 0x0C7D,
SaveData[561], 0x0C7E,
SaveData[562], 0x0C7C,
SaveData[563], 0x0C7F,
SaveData[564], 0x0C7F,
SaveData[565], 0x0C7F,
SaveData[566], 0x0C7B,
SaveData[567], 0x0C7F,
SaveData[568], 0x0C7F,
SaveData[569], 0x0C7D,
SaveData[570], 0x0C7D,
SaveData[571], 0x0C7B,
SaveData[572], 0x0C7D,
SaveData[573], 0x0C7E,
SaveData[574], 0x0C7B,
SaveData[575], 0x0C7F,
SaveData[576], 0x0C7D,
SaveData[577], 0x0C7E,
SaveData[578], 0x0C7D,
SaveData[579], 0x0C7E,
SaveData[580], 0x0C7E,
SaveData[581], 0x0C7F,
SaveData[582], 0x0C7C,
SaveData[583], 0x0C7E,
SaveData[584], 0x0C7D,
SaveData[585], 0x0C7E,
SaveData[586], 0x0C7C,
SaveData[587], 0x0C7D,
SaveData[588], 0x0C7E,
SaveData[589], 0x0C80,
SaveData[590], 0x0C7B,
SaveData[591], 0x0C7F,
SaveData[592], 0x0C7D,
SaveData[593], 0x0C7E,
SaveData[594], 0x0C7D,
SaveData[595], 0x0C7D,
SaveData[596], 0x0C7C,
SaveData[597], 0x0C80,
SaveData[598], 0x0C7B,
SaveData[599], 0x0C7F,
SaveData[600], 0x0C7E,
SaveData[601], 0x0C7D,
SaveData[602], 0x0C7E,
SaveData[603], 0x0C7C,
SaveData[604], 0x0C7C,
SaveData[605], 0x0C7F,
SaveData[606], 0x0C7C,
